taxonKey,scientificName,iucnRedListCategory,specificEpithet,species
2308740,Pontoscolex,NULL,NULL,NULL
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
7236626,"Heteromastus Eisig, 1887",NULL,NULL,NULL
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2316376,"Laeonereis culveri (Webster, 1879)",NE,culveri,Laeonereis culveri
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
0,incertae sedis,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
2308740,Pontoscolex,NULL,NULL,NULL
2316247,"Neanthes Kinberg, 1865",NULL,NULL,NULL
11003839,"Rhinodrilus antonioi Hernández-García & Sousa, 2020",NE,antonioi,Rhinodrilus antonioi
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308740,Pontoscolex,NULL,NULL,NULL
9546247,"Hyperiodrilus africanus Beddard, 1891",NE,africanus,Hyperiodrilus africanus
2316674,"Sigambra grubii Müller, 1858",NE,grubii,Sigambra grubii
2308740,Pontoscolex,NULL,NULL,NULL
2318007,"Capitella Blainville, 1828",NULL,NULL,NULL
2316367,"Laeonereis Hartman, 1945",NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2316674,"Sigambra grubii Müller, 1858",NE,grubii,Sigambra grubii
2316376,"Laeonereis culveri (Webster, 1879)",NE,culveri,Laeonereis culveri
2308740,Pontoscolex,NULL,NULL,NULL
0,incertae sedis,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308740,Pontoscolex,NULL,NULL,NULL
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
2317033,"Nephtys fluviatilis Monro, 1937",NE,fluviatilis,Nephtys fluviatilis
2316376,"Laeonereis culveri (Webster, 1879)",NE,culveri,Laeonereis culveri
2308740,Pontoscolex,NULL,NULL,NULL
2317033,"Nephtys fluviatilis Monro, 1937",NE,fluviatilis,Nephtys fluviatilis
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
9546247,"Hyperiodrilus africanus Beddard, 1891",NE,africanus,Hyperiodrilus africanus
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
9308346,"Righiodrilus tocantinensis (Righi, 1972)",NE,tocantinensis,Righiodrilus tocantinensis
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2316659,"Sigambra Müller, 1858",NULL,NULL,NULL
2318007,"Capitella Blainville, 1828",NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308740,Pontoscolex,NULL,NULL,NULL
2316674,"Sigambra grubii Müller, 1858",NE,grubii,Sigambra grubii
2318072,"Notomastus M.Sars, 1851",NULL,NULL,NULL
2316674,"Sigambra grubii Müller, 1858",NE,grubii,Sigambra grubii
2308740,Pontoscolex,NULL,NULL,NULL
2316659,"Sigambra Müller, 1858",NULL,NULL,NULL
2311081,"Aphrodita Linnaeus, 1758",NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2317033,"Nephtys fluviatilis Monro, 1937",NE,fluviatilis,Nephtys fluviatilis
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2316674,"Sigambra grubii Müller, 1858",NE,grubii,Sigambra grubii
9372448,"Urobenus petrerei Righi, 1985",NE,petrerei,Urobenus petrerei
4410234,"Dichogaster affinis (Michaelsen, 1890)",NE,affinis,Benhamia affinis
9512479,"Liodrilus mendesi Righi, 1994",NE,mendesi,Liodrilus mendesi
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
11003839,"Rhinodrilus antonioi Hernández-García & Sousa, 2020",NE,antonioi,Rhinodrilus antonioi
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2316659,"Sigambra Müller, 1858",NULL,NULL,NULL
11003839,"Rhinodrilus antonioi Hernández-García & Sousa, 2020",NE,antonioi,Rhinodrilus antonioi
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2318072,"Notomastus M.Sars, 1851",NULL,NULL,NULL
4410238,"Dichogaster bolaui (Michaelsen, 1891)",NE,bolaui,Dichogaster bolaui
4410238,"Dichogaster bolaui (Michaelsen, 1891)",NE,bolaui,Dichogaster bolaui
2308740,Pontoscolex,NULL,NULL,NULL
2316376,"Laeonereis culveri (Webster, 1879)",NE,culveri,Laeonereis culveri
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2308740,Pontoscolex,NULL,NULL,NULL
2316376,"Laeonereis culveri (Webster, 1879)",NE,culveri,Laeonereis culveri
2316659,"Sigambra Müller, 1858",NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308740,Pontoscolex,NULL,NULL,NULL
2308741,"Pontoscolex corethrurus (Muller, 1856)",NE,corethrurus,Pontoscolex corethrurus
2318007,"Capitella Blainville, 1828",NULL,NULL,NULL
2318007,"Capitella Blainville, 1828",NULL,NULL,NULL
4410238,"Dichogaster bolaui (Michaelsen, 1891)",NE,bolaui,Dichogaster bolaui
11003839,"Rhinodrilus antonioi Hernández-García & Sousa, 2020",NE,antonioi,Rhinodrilus antonioi
2316376,"Laeonereis culveri (Webster, 1879)",NE,culveri,Laeonereis culveri
2308740,Pontoscolex,NULL,NULL,NULL
2318007,"Capitella Blainville, 1828",NULL,NULL,NULL
